book,card_id,grade,original,translation,chapter
데미안,DM-R05,Rare,"Jeder Mensch ist eine einmalige Kostbarkeit, ein einmaliger Versuch der Natur.","모든 사람은 한 번뿐인 귀한 존재이며, 자연의 한 번뿐인 시도다.",서문
데미안,DM-R06,Rare,"Es gibt alles in der Welt für den, der das Richtige will und es ernsthaft zu wollen versteht.",올바른 것을 원하고 진지하게 원할 줄 아는 사람에게는 세상에 모든 것이 있다.,3장
데미안,DM-R07,Rare,"Die Verzweiflung schickt Gott nicht, um uns zu töten, er schickt sie, um neues Leben in uns zu erwecken.","절망은 신이 우리를 죽이려 보내는 것이 아니라, 우리 안에 새 생명을 깨우려 보내는 것이다.",6장
데미안,DM-R08,Rare,"Jedes Ding, das je gewesen ist und jedes Ding, das je sein wird, ist in uns.",일찍이 있었던 모든 것과 앞으로 있을 모든 것이 우리 안에 있다.,7장
데미안,DM-R09,Rare,"Das Böse ist das Gute, das noch nicht zu sich selbst gekommen ist.",악이란 아직 자기 자신에 이르지 못한 선이다.,4장
데미안,DM-R10,Rare,Ich suchte mich selbst. Ich floh vor mir selbst. Beides ist dasselbe.,나는 나 자신을 찾았다. 나는 나 자신에게서 도망쳤다. 둘은 같은 것이다.,8장
데미안,DM-C01,Common,"Er hieß Max Demian. Eines Tages traf es sich — ich sah ihn an, er sah mich an.","그의 이름은 막스 데미안이었다. 어느 날 — 나는 그를 바라보았고, 그는 나를 바라보았다.",1장
데미안,DM-C02,Common,"Kain war ein famoser Kerl, und bloß, weil man Angst vor ihm hatte, hängte man ihm diese Geschichte an.",카인은 훌륭한 인물이었다. 단지 사람들이 그를 두려워했기 때문에 이런 이야기를 갖다 붙인 것이다.,1장
데미안,DM-C03,Common,Zwischen uns kindischen Jungen bewegte er sich fremd und fertig wie ein Mann.,우리 어린아이들 사이에서 그는 마치 어른처럼 낯설고 완성된 모습으로 움직였다.,1장
데미안,DM-C04,Common,"Es kamen die Jahre, in welchen ich aufs Neue entdecken musste, dass in mir selbst ein Urtrieb lebte.",내 안에 근원적 충동이 살고 있다는 것을 새로이 발견해야 했던 시절이 왔다.,3장
데미안,DM-C05,Common,"Ich war Kain und trug das Zeichen, und das Zeichen war keine Schande, sondern eine Auszeichnung.","나는 카인이었고 표식을 지녔으며, 그 표식은 수치가 아니라 훈장이었다.",2장
데미안,DM-C06,Common,Das Dunkel war meine Heimat geworden.,어둠이 나의 고향이 되었다.,4장
데미안,DM-C07,Common,"Ich träumte von Demian, und er sah mich an mit Augen, die nicht seine Augen waren.",나는 데미안 꿈을 꾸었다. 그는 그의 눈이 아닌 눈으로 나를 바라보았다.,5장
데미안,DM-C08,Common,"Es war ein Gott, der den Schmerz hatte, und es war ein Teufel, der ihn schickte.","고통을 받는 신이 있었고, 그것을 보내는 악마가 있었다.",6장
데미안,DM-C09,Common,"In jedem Menschen schläft etwas, das sich noch nicht gefunden hat.",모든 사람 안에는 아직 자신을 발견하지 못한 무언가가 잠들어 있다.,7장
데미안,DM-C10,Common,"Sie war wie ein Feuer, das mich anzog und das ich fürchtete.",그녀는 나를 끌어당기는 동시에 내가 두려워하는 불 같았다.,7장
데미안,DM-C11,Common,Die Welt wollte sich erneuern. Und der Tod roch nach Geburt.,세계는 스스로를 새롭게 하려 했다. 그리고 죽음은 탄생의 냄새를 풍겼다.,8장
데미안,DM-C12,Common,Alles war irgendwie neu und doch so gewöhnlich.,모든 것이 어쩐지 새로우면서도 너무나 평범했다.,3장
데미안,DM-C13,Common,"Ich hörte mein Schicksal reden, mein neues Schicksal.","나는 내 운명이, 나의 새 운명이 말하는 것을 들었다.",5장
데미안,DM-C14,Common,"Wir wuchsen langsam aus einer Welt heraus, die nicht mehr die unsre war.",우리는 서서히 더 이상 우리의 것이 아닌 세계로부터 자라나왔다.,8장
데미안,DM-C15,Common,"Wenn ich eine Sehnsucht hatte, so war es diese: gehört zu werden.","내게 갈망이 있었다면, 그것은 이것이었다 — 들려지는 것.",4장
데미안,DM-C16,Common,"Der Weg zur Unschuld, zu Gott, zum Guten führte nicht zurück, sondern weiter, tiefer in die Sünde.","순수로, 신에게로, 선으로 가는 길은 뒤로가 아니라 앞으로, 죄 속으로 더 깊이 향했다.",6장
데미안,DM-C17,Common,Ich liebte Demian. Ich liebte ihn mehr als je einen Menschen.,나는 데미안을 사랑했다. 그 누구보다 더 그를 사랑했다.,2장
데미안,DM-C18,Common,"Niemand kann ihm das Seine nehmen, wenn er es wirklich will.",누구도 진정으로 원한다면 그것을 빼앗길 수 없다.,3장
데미안,DM-C19,Common,"Das Licht brannte in mir, und ich wusste nicht wohin damit.","빛이 내 안에서 타올랐지만, 나는 그것을 어디로 향해야 할지 몰랐다.",5장
데미안,DM-C20,Common,Ich bin allein. Ich bin nicht einsam.,나는 혼자다. 하지만 외롭지 않다.,7장
